aktivitas_harian,satuan,wpt_menit
Melakukan koordinasi dengan OPD,Laporan,30
Melakukan koordinasi dengan Pusat dan Kab/Kota,Laporan,120
Menyiapkan bahan kerja,Bahan,60
Melakukan monitoring,Kegiatan,90
Melakukan Evaluasi,Kegiatan,60
Menyusun Laporan,Laporan,120
Mengolah data,Data,120
Membuat konsep surat dinas/nota dinas,Surat,30
Mengikuti rapat koordinasi,Kegiatan,180
Membuat konten berita,Naskah,30
Membuat Notula/Berita Acara,Notula,60
Menghimpun Data,Data,30
Melaksanakan Survey,Lokasi,120
Melakukan Pendampingan,Kegiatan,60
